"COUNTY","STATE","POPULATION","UNEMPLOYMENT_RATE","DENSITY"
"dimmit","TX",10794,7.2,"7.5"
"dinwiddie","VA",28144,4.8,"55.6"
"dixie","FL",16300,5.5,"23.3"
"dodge","MN",20506,3.8,"45.7"
"dolores","CO",2056,4,"1.9"
"donley","TX",3405,4.3,"4"
"dorchester","MD",32258,6,"60.3"
"dougherty","GA",90017,6.9,"287.7"
"douglas","CO",328632,2.7,"339.7"
"douglas","IL",19630,4.7,"48"
"douglas","KS",119440,3.6,"243.1"
"douglas","MN",37456,3.5,"56.5"
"douglas","NE",554995,3.5,"1574.4"
"douglas","NV",48020,5.6,"66.2"
"douglas","OR",108457,6.4,"21.4"
"douglas","WA",41327,7.1,"21.1"
"dubois","IN",42552,3.1,"98"
"dubuque","IA",97003,3.6,"154"
"duchesne","UT",20337,8.9,"5.7"
"dukes","MA",17246,5,"160.2"
"dunklin","MO",30535,8.2,"59.1"
"dupage","IL",929368,4.8,"2799.8"
"durham","NC",306212,4.5,"935.7"
"dutchess","NY",294473,4.2,"373.9"
"duval","FL",926255,5,"1133.9"
"eagle","CO",53989,2.8,"31"
"early","GA",10339,7,"21.5"
"east carroll parish","LA",7271,11.7,"18.4"
"eastland","TX",18274,5.5,"20.1"
"eaton","MI",109160,4,"187.4"
"eau claire","WI",102965,3.5,"154.8"
"ector","TX",157462,6.4,"152.8"
"eddy","NM",57621,6.6,"12.9"
"edgar","IL",17566,6,"29.8"
"edgecombe","NC",53318,8.6,"111.9"
"edwards","IL",6523,5.8,"30.2"
"edwards","TX",1911,4.9,"0.9"
"effingham","GA",58712,4.9,"109.4"
"effingham","IL",34386,4.7,"71.5"
"el dorado","CA",185625,5.1,"106"
"el paso","CO",688284,3.8,"292.6"
"el paso","TX",837918,4.9,"790.6"
"elbert","CO",25231,2.7,"12.5"
"elk","KS",2547,5.3,"4.5"
"elk","PA",30480,5.6,"38.6"
"elkhart","IN",203781,3.5,"426.5"
"elko","NV",52168,4.5,"2.8"
"ellis","OK",4080,3.9,"3.4"
"ellis","TX",168499,3.8,"159.9"
"elmore","AL",81799,4.9,"128.2"
"emery","UT",10216,6.3,"2.5"
"emmet","MI",33182,6.2,"69.9"
"emporia city","VA",5305,6.5,"859.8"
"erath","TX",41659,4.1,"35"
"erie","NY",921046,4.9,"881.4"
"erie","OH",75107,5.5,"306.4"
"erie","PA",276207,6.6,"351.1"
"escambia","AL",37728,6.7,"40.5"
"escambia","FL",315187,4.9,"453.4"
"esmeralda","NV",790,4.5,"0.2"
"essex","MA",779018,3.8,"1508.8"
"essex","NJ",796914,6,"6211.5"
"essex","NY",38102,5.3,"21.9"
"essex","VT",6176,5.9,"9.5"
"essex","VA",11123,4.8,"43.4"
"etowah","AL",102564,6,"195.2"
"eureka","NV",1917,4.6,"0.5"
"evans","GA",10670,5,"60.2"
"fairfax","VA",1138652,3.2,"2766.8"
"fairfax city","VA",24164,3,"3616.6"
"fairfield","CT",944177,4.8,"1467.2"
"fairfield","OH",152597,4.2,"289.8"
"falls","TX",17273,4.5,"23.3"
"falls church city","VA",14014,2.7,"6169.8"
"fannin","GA",24900,5.3,"61.2"
"fannin","TX",34031,3.8,"38.1"
"faribault","MN",13935,4.4,"20.4"
"faulkner","AR",122227,3.8,"174.8"
"fauquier","VA",69069,3.4,"100.7"
"fayette","GA",111627,4.7,"548.3"
"fayette","IL",21789,6.7,"30.9"
"fayette","KY",318449,3.5,"1042.8"
"fayette","OH",28676,4.4,"71.4"
"fayette","PA",132733,8.2,"172.8"
"fayette","TX",25149,3.7,"25.8"
"ferry","WA",7614,10.8,"3.4"
"fillmore","MN",21003,4.1,"24.2"
"fisher","TX",3854,4.4,"4.4"
"flagler","FL",108310,5.5,"197.1"
"floyd","GA",96560,6,"188.9"
"floyd","IN",76990,4.1,"504.1"
"floyd","TX",5917,5.2,"6.5"
"fluvanna","VA",26271,3.3,"89.8"
"foard","TX",1183,3.9,"1.9"
"fond du lac","WI",102144,3.6,"141.2"
"ford","IL",13575,5.5,"29"
"ford","KS",33971,3.3,"30.8"
"forest","PA",7321,8,"18.1"
"forrest","MS",75979,5.7,"160.7"
"forsyth","GA",221009,4.2,"783.5"
"forsyth","NC",371511,4.9,"859.2"
"fort bend","TX",741237,5,"679.5"
"franklin","AL",31628,6.1,"50"
"franklin","FL",11901,4.3,"21.6"
"franklin","GA",22320,5.3,"84.5"
"franklin","IL",39156,8.1,"96.8"
"franklin","IN",22715,4.3,"60.1"
"franklin","KS",25560,4.3,"45.5"
"franklin","KY",50560,4,"237.2"
"franklin","MA",70382,3.3,"102.1"
"franklin","MO",102838,4.4,"110"
"franklin","NY",50409,5.6,"31.7"
"franklin","NC",64705,5.1,"123.3"
"franklin","OH",1264518,4,"2186.1"
